,job_title,salary,company,location,is_remote,job_rating,job_summary,post_date,extract_date,job_url,rate_by,min,max,adjusted_salary,yearly_adjusted_salary,salary_bins
602,Lead Deep Learning Engineer--Image Processing,"$170,000 a year",Harnham,"New York, NY",,4.6,"Build software for image processing and deep learning.
Having over 20 years of academic research and experience, this startup leads the development of platforms…",22 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyMBbpKreu8_0VPK2YpEpLaA4bugFWpBHqJcfMAzo71oHZoiFCsJoNis_VVxq6iHQz1M58bp8CSMzm1nLhPJ4ALiqEYME4PosM9OCzNMSbr_Osv91-ibEph0zBQ3lHVT44sU_wHmdsMON4cQFEwYJTEh6rmDSFeQHy0Jd0qWtwrTTvlbR0Vwexag9Hxx3gQmYapsv9LwDeB7Cq8ujDuqO5IWawwGkiqxTkuQYqdXqMy2yGYDnpHf2tjWyM11G39Ezx4VEbmQH21yZuRkxJgncd09DQFjPAME52QVCUDi1JMKZU-x_k1stOLQt_QDEz9YSoaY_iQ4WfPVrJVqtzA6U63xxCXw-51FWoslZizeKoEsFctqFJvZjFeh39eEpcvk714aJjhINYTEEHNQjC4j8Jg7BcwFoPrmp4eNHZl_AfHP8tH4w7fvgAPNrNQs7tglXm4qmOgdtvxyozSZb_VL5Z8iBDx6_zMQLiF1HjsMShoCRTLZjxG4KT8PIy690gpbpWbRnJFzpHknps5vJ3EgqAUHMbw7_Xyfg-4RRZPmb9da-i_feJoYyMo4RO5PMVgVQCNFE6bIqX6ZsBQy-DKFPnrMOuR5m5lsGHofC8RXIvdBj8qZiy1jCDx_barzTFuW1tirTd8_TiEjrIPjbonPTMm3a77L4cVJSA==&p=1&fvj=0&vjs=3,Yearly,170000.0,0.0,170000.0,170000.0,150K - 300K
613,Principal Machine Learning Engineer,"$260,000 a year",Harnham,"New York, NY",,4.6,"With great funding and the ability to work through their own projects, you'll have the chance to apply your machine learning and deep learning techniques that…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyMBbpKreu8_0VPK2YpEpLa5HnGAxhNYIjiPYSsH_s_i68rKGXR-oI7c7vjFhbLAOdL3JeKnG9Z3MfJ-mTeNc8iEJ8wcau9sGREWeOAxuDYkvIsUzBO11Y__YqEIH_s8AIqLdNNlBhgp-GubLI8uKQELAN-1YUxwI8EsUbV2oWNxO_O-3ho7eN8-VOdi-2134jYvyuMT2h0rLHyWKXpA8FiT29OJxIGpj35lcj-b-JKHl9PdDFV_Bc2fLrvQSTkZw731l9ZEb41ni4ZpCRpDf_oaP0WdQmqpJBBSeijsMP32GIxk1fyvFfgodmKOH7qFtXZ2I4XQCJyt9iqx0VlZA9B4NgzeKIerROPsPCfKRWzXCpD2KJzg4C2jZWYkjCbhsrxo842DuaIY2PVViueddH4FNTqnmEGuYb4qKWLB5rufyKwJW7KYGSlajkkHVGnSK-8sEUgh6k8bOj138OJkxnAUw-Ta57LofindZjtKcmcFW_VH8dpMXPNs-rAriIG8kfkcIuZYLk48U0dMMH-2Aloyxg9aqZjnp5B3pjfEduo3cXUQH8XMJvY9sS6f7Rt2qOPuc9RrJeDSq4yu4n5XEUQ35CqeHFFbAlzFEHZ9gDNsiuJl7vOZTUNZbuQfUkmXZC-Qb9pc8MEbbXb-fYx-ymfsofmuoJOhihB7_wvtT9pF&p=12&fvj=0&vjs=3,Yearly,260000.0,0.0,260000.0,260000.0,150K - 300K
706,Lead Data Scientist,"$150,000 - $170,000 a year",Harnham,"New York, NY",,4.6,"As the Lead Data Scientist, you will be using data and insights to improve the companies marketing capabilities.
Prior experience in Marketing and paid media.",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyMBbpKreu8_0VPK2YpEpLZmsWE1eGSsAPjf51lYd4wBMD9TkLCxt8aJiyMm4VZsNceRsohgrobO1TAGroSRvDPO0Am9fr0WK3pS4f-q_Yr-hcStY0AmqLlESwnK5ZsIHyjdO4bXtbKpyyv6u4TB5dVQ4JFvD4hrtWShaHT6nEht4crvho8VZviZLXsHhqNrySu_JV18YL_dtEsxFN7OVKWaz-emDGOeUF9kC3HsI4VtxvzANVjfAV1KiviHtUN8og76seJ2vxvvETQkX7Ry_W5LiYwuxO1KSQDfYkCNf2d6sfmiPh3xX66G0lY9VBLc9-GTsNr8idct5Id1GkEXynay1ShXj8dyiBXXFbfC0uk69YhmF0Nld_-rF1JiKONvywzsOUpUlo6DUsGTmPjIgTpOfrI6Ht69UUGFdedM2f8cf5YmMvYR3bKBf30hssAoCLQ8VuYp5K4DJaER_JP0cx7e_rffKeEoRoL3KaVTkbFXv0Tg-DiD1CvdyEgorpegGqc5QeQx-nZvMcPYbC6-zBwfdoSiydyXsFrvEeCfI5H-KlmyV28xJMDVxIKBw2yEfLWp4u8FaBbxMP6Kwh7QjlHh3O_itsP4CkgqMgaobXUjOo3HFFcTGxCkNoMt4fFzkg0wevot_y63Y0jFmdk6Nad4VFRfn6Ph-43xko-dKEJH&p=0&fvj=0&vjs=3,Yearly,150000.0,170000.0,160000.0,160000.0,150K - 300K
708,Machine Learning Engineer,"$130,000 - $190,000 a year",Transatlantic Reinsurance Co.,"New York, NY",Temporarily remote,,"Construct machine learning models including data collection, normalization, and standardization, data pipeline construction, model selection and hyperparameter…",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aa3D550MIeSUhs2YoqUifVZA2xMvjz_MLWC-CzTLRWqiBd1pjuwMulmqnh49Mls3faRvyu37Y0xd2Y2xVpwxZlyo7VKSG9od7KtfF8lBo7WerD4bZgmDJNq-CweENLSlecc4PQI3cD9A9ps5dsABYZMUOZpnC3gRhiSc3qGvrXG69IL-RgP9kneXYXRER9ze5K6MGvr1E_fzqguI_WFgVtpCqnpyKW6WboP4jlRmv_-SNxv1M3lD9_icuDrDyCncPNjJaZm2465ApHwjKN0PAV_VdKemkoUZfnzIvyLBk_GP3gOx5hHMjTaWidB7Cx_LySO_Z4joDEf9SZOgROTuq2n2VgREM10t4wy_Ud4PhMDkkQfAoU4wILdUOb1W5dlWzOKRs74ElOP2oM3v-a68ea70aoJLIjqJcT2VrMVOBW9BSfnj2pFXGnkwhUkjM_yIYTYpxUFZTFG_gXrEbsW4hz&p=2&fvj=1&vjs=3,Yearly,130000.0,190000.0,160000.0,160000.0,150K - 300K
709,Senior Data Scientist,"$150,000 - $230,000 a year",CyberCoders,"New York, NY",Remote,3.3,"Implement the most current machine learning methods.
Write code in python, scala, or C++ to scale machine learning models.
Check performance in real time.",1 day ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t5auiaX-lacgkslWRyTkdBP1SmMbB9aBgeJzz2CW47ffASYfafRnz-_ADizMiq6OOCfHlde4R8abbUa75Ogtn1a-Z9WK8YnATfQD_EEKb_JUGSmZdBzk_NZ28TCM2sHw_iKxSpsoBitGNxwRo4jZTEFLwUnWAkZk7H3mXRvXRISw5CL86ejEkt7xr3TxPIc30BVrmwUHBaOUfj-vIi2q8KSqeBlQOOlIP8bAPAt-NBr96iflJpD44QWhwdgvVuCBpoP8oJk8hzNL7ZlR2D-E85KXu1AESioNwpiJPmhhcRcAd_igA5Tj2CxvS2EJvJNMZNmUFuAwCoAUrfaKBzN9wqERb47mou1mBuoJfEM5wtisYM4qHa-AsgoqRu2Ub1PpPr9ysGMnQFNBVzh73UDrRibEoS4T-PaKIi7Xhynni9TniSo8PLTR6vzChgmyjypoHpTuFca_M4142WVS1dGVUI8kxNfy9jnwH6iobIcPPntG8KWOCqg3wZxyOqv87c0SWbiIJr-kStk3sBYvXtirxf_QUegqJfy4D3xTZxYvx7KUlqvaKB-QSvIv01n2VKYTZtUntJE3qNMFar7wDB-i_GFv4fYNrQ0-Ge3X6E4eBth9uUrCiIExRGoGABrK6oA2PlT4_I6CW-JhJ9fIs6Q0qbRdWdKfRVlD8g0Fxn4gUpFsOR96Gi5kHt4TeXjcW6J2mkJTIjy-hsU4PJibdqaxFWtxnilnjFELqSmcyKgy1C8RU4PFwX8n2OSKsInBSn-wR9cyUpo-TqjtBC01afNpqrWFUOAYh_HBrly9v6k9bNvL5-0s1u0JPiEhJoRByVnSbtC9YlrKEUQctoQQP5LA9ibPT1eN13M3eg_QKd8uSAkxZTnVLmQrap4nIMb61BXTDzFwIGuuM1Elg==&p=3&fvj=0&vjs=3,Yearly,150000.0,230000.0,190000.0,190000.0,150K - 300K
714,Digital Data Scientist,"$175,000 a year",Harnham,"New York, NY",,4.6,"Deep understanding of the Data Analytics landscape, including industry trends.
Advanced SQL, Python (or R), and exposure to data ETL in large database systems.",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyMBbpKreu8_0VPK2YpEpLbz2-bQUuokv2mHSdTpzuAEZ_hQoPTUBNGNZhxYi2FqD7jIQdMCDcERsyCXnEZHAydcMGecYW_zp8DOKZ6pyMLsbpqMk-2dyqLtxMcNrURmFRWkzr71hTHDdWm_EL2rOxeZk9pVO-Gr_s5AOvzRdiLRmOlLNqaAxKfqZ2rVjaE04GA1hQgHEAUWsAvGNjsq9n0OxSmsfbGJOSnFZaLSF_HZYRUFmUpaiZKFuvqivgoJs9AgUYqek8t-yKqyLn-uvp85w8z9zM3VvTP_n7uLvhD9DDDqs8udvHhv252rVyokMY-avMvqbbUiD0T2H2lN_Zt9KQLKNx2w7ElSRlRA3wxluS5XGvCHaTX6w5BKc58jF8QsPBPX2oXTlZ2JivdQF0wrmPEGMrLVd2QbR79OXVc89-vGnm5a-JJkNBf1ZVjAZzzGhVOFRlae_lw3qTw14uQAUNY3CzJje-I7Nz_ICj-crKdCXwIS_fkz3d5Zjeyv8PET3ATwEV1KghqTIlpbPVyUgkvmfwcGgKIVYwLr0w68nzejaFQo5BQuiHL3kKnxsWX6S4YaJgBHRmEbrotJSJb_-PDF-XpEzWRy0z2w-NCOSbMSoPZsC8CutiZ2586RQbLkdpzp8V8lTH28Orakjq57jClZ9IbJtA==&p=8&fvj=0&vjs=3,Yearly,175000.0,0.0,175000.0,175000.0,150K - 300K
717,"Machine Learning Engineer (Part-time, Online, Evenings)",$60 - $100 an hour,American Alliance for International Education,"New York, NY",Remote,,"Experience with Deep Learning tools such as TensorFlow, PyTorch or other frameworks on GPUs is a plus;
Machine Learning: 3 years (Required).",30+ days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZx8YQd2UH9sutpq74qkGWDTDPV_5xHdmYLmVfK6RFKoqVrWnydyUW5C0fntxnUsAaoBlfjpUqxPb_eN4BdcK7Wa5uEu7jDdJZI0Ot_td4l-eway-dALwsZBvLqnKmgQ9W7CDET_dueofj58LnPInuDHUa9bZtOo_kWCZ-VA5IOQNJq3QYpbvQyXEwwTuQOEyXVm6UhCh3wVS2g0m2mAdelxjdRAdN8jGbkx_9X__OOqTNpIgoODddpDOerKgwvn9uCqRYNsbCnPN8rTiOfej48OT77gf3ZuFaEpgtaLyJbvQryvDHcfiyuHmKUewXyjdlJyZImMTQeD2UUY73qiFOK8dRP3z0YZJK3uqtiWACM8slHaiVp7H0JDYQXB9hquEU87wvjnD8jeVkp_9xM0LR3EnirUG8LQEOpmE2HVIQ2NIh3XvH6fc2Vtum2mlH7psb3CxMckMLgdcOUd89HXLxATFqqxB1DsiwKWqiciXGUGl6RRqXUqnVvA0Lbog9bBQ=&p=11&fvj=1&vjs=3,Hourly,60.0,100.0,80.0,195520.0,150K - 300K
720,Lead Data Scientist - Performance Marketing,"$150,000 - $170,000 a year",Harnham,"New York, NY",,4.6,"Tableau, SQL, R, Python, Statistics, Power BI, Google Data Studio, Modeling, Regression, Search, SEM, PPC, Location, Google analytics, Mobile, web analytics,…",Just posted,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyMBbpKreu8_0VPK2YpEpLZxYlxSXRTqyfUiE0TnbISItsTsdnudHxa8igzGw4Uw6w5ETNNh3k9G3hA-AiQhWlPZOOmMx4GxBZ81M5If1pLQWBsgmnbKludUQV5jD3-Vk1HdKfBAAAiDv02AP2Y8fP3-21TraWvp5dwNRVwEByQZ897uR457nelDK4CTRkwC3cUmSYc84j_Yar_S4qIPe57RSw4ory7ibar4yuv-5lOOBa34eZ5UF5bXxgGd_yJPPgYPvxWzxmOi9vSgir3zVmIKqimejzuOItGUnG_THjWSPs5ZzU59x4-W4Z93ouQ54-KwD4gDYtAQEqsUrqNJTfzgWqr-7ZbslB_kr4JgeJPkKBO79A5TsR_uDrArnwzJz86R7JT8JTR2ExwBSNGTnAUdyxObMMy14pLWIm8uuKe8tFUlK-Hhy-X5r7gZfx-ATO-gbexgQKtjXAQWg1cDULR5jYPcwsEvnXN9FOqjZ8kDHTOUYfyLaI4HZmNbFq_mEVw8UwT5NUhZuqT3d_YkO97IG28zrd85LosIpQZyUgEHXPWz8927XDm_yaFUoPsrEvpSdHYtnv0SZgnEBiVURwrORQk0XcnUPIvr5YzKAIZd5dUeACKxbvatqMZk3W7ZgjqoaPtCkmuwPJ355VpjFWHRCAuWwBESt870MObsxXSP&p=14&fvj=0&vjs=3,Yearly,150000.0,170000.0,160000.0,160000.0,150K - 300K
735,"Senior Manager, Analytics & Data Science","Up to $145,000 a year",Harnham,"New York, NY",,4.6,"Enabling Product and Marketing strategy development through data analytics and actionable recommendations.
As Senior Manager, Analytics & Data Science, you will…",Today,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyMBbpKreu8_0VPK2YpEpLZqrNtfN6ewsLaLAdFtkk2zKKJt7_TjwpUAh8fFqhpA6hiJxZ1HsX26hKfknuhKV-fmQHfnT2NjGMAygkvRBzBPmGxeAxZ6q5FH-NRVFLiPPBtLMEeIWErJ7hfHBwUwQyq-av4aN6UmNje4CRjRmRkZhyX_or6JniTwN27Oy2PenWqDPfBT1fS7uYmeQDhdcd18_mduukthcR08APfCBTaVo4P8W-KJ5oTAUAsjBGKmUFrdaJ5pledqmqiBNeTyRkAyNd3dUqKa655VfIBV_eVEZIChdrPG9OrGAogvHh5t09E9BH0jsKmylZcTW-hcXdDE_CtinPtC2hoO2zMP8Afd7f1Ov-gUn7RfcCyaSjUadWISsXAJri-VKli-bANW2YP4krSLbFIotm_ZloHodAMEcLjoJlN-LUUd2bdjQunsjq_41dVQHu2TC_qKW2-bNKDzAOzKGpNX2uz3EXOp4Deat_-OoDtQvijWO4NURfTao428AJv8wR4h5HbQWr0K6_Is_XJ9yKZTje4aqUfgIJbSpeS-MVLFB3bO41wAg1aaN-2F3WN0i6KZbepd_0l-dcPZ4ifXf_rEuGz5OCGdJWCePBvCFunFXItHQH4kUkRyU-FxFfPd8y_BZlB1VL3cXkLD_KZOvh2nuw==&p=0&fvj=0&vjs=3,Yearly,145000.0,0.0,145000.0,145000.0,120K - 150K
738,Senior Machine Learning Engineer,"$175,000 a year",Harnham,"New York, NY",,4.6,"Commercial experience developing machine learning and deep learning algorithms being put into production.
As a Senior Machine Learning Engineer, you will be…",25 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyMBbpKreu8_0VPK2YpEpLZAzXX-qnkUkic3pgY8ilhBy3KankJT5DS9poqzqzrwSTYKIgSjwkaeyn__EUhS1RcOOkmV9zZDPowSeu0cNw36UfnWJVjeANKw8Qc-FXwjR3raCJ6oKmBXGP0ll14m4L_8Nqt_OgMlh-0yhIhQtSGJ6Rslfl0o5hp76l1o48LTQdzdPtTswhqxwH8qZDRv2-w7MJRLMhNNAbKQhxQ-cRWefJsaFdkir-J9RCLancxNWh88-DCFjAD-_pvvICBCCPm4NrlZDqtys7hcPcyQdc10TU66k4F63VEG-KgF31yV13na17t71IDhG8O61qJ3Hu1njNg7Ez3VjKc3jmDcsBH6NPesexWxy-8Pnqu7cFJsvOWB4OrvuyVYhXWkBcPsP9fU8-2OWAYuGe5tFTWXZq-x7P8c4mNseeKcEWLx-Vdt7JZlg0KSU4KIsE2IPfZ-TPcsGXRNJOqFFwMZ1zx82r7DfOdtK4BeX_hV1XEVvaXt-vHs44vZG54L_K8Z5ys9NWqSYuGcKGYyN8y7wfbm4UerUYBSSWEQ65GXqeqKcAqtixuN1KGzdch4fuTm9YCLTSsKKbkOV_JW0_o1KYir6DMZQ7-mcudhwMEHTZbgeo0JJuVHIcVFn7dUUV4R7onbupg=&p=3&fvj=0&vjs=3,Yearly,175000.0,0.0,175000.0,175000.0,150K - 300K
739,Senior Director of Data Science,"$200,000 a year",Harnham,"New York, NY",,4.6,"You would be overseeing their high -level data science strategy to help the health and wellness of people around the world, reporting directly into the COO.",16 days ago,2021-01-15,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARICpNo1DhGqfodICOss3ZS6QdhS5AHh5hrs_CHOPYqyMBbpKreu8_0VPK2YpEpLbixxgLMB3xQRbvJ7G09CGVD5WRF4XRLlLeqO6-fVnXLk0hY1j-BGiszcpZwirsnfWC0pdKDxL_vmFDHE3O-WjPPw0Kal2sYSU_YthqmnOylTqwU-7wpOrk6TSCp6c9AvlulSOp9MbH2vzii6oxJDfgfrV8M56Q_sJD41KnxQ30BzbPfKDAQmhVU7lGiK9Z1vulYplOF5Rq0HsxXgGGhdm8k_KJxIO9NI40_mp0tfCJApMgGCxCxPTF6Q2dcjytQ23GtsVXcr9iDWOwJD3LZ_vZS9vw6qa6OlSUcT0hB6Omi3ll88ze-NlZKv2Ued7RW5onZ2iYwVuGZyF26yEeGKRTjS2nZhWYRQhqNhYmdNRL6zF5ZlbQXVz7x9ibaz6zBgSxXu5v5rUhDwdwXI_sxvIMKZ00hUk4PqidxA9Tc_5a5vgg8oxPbw3r5NsVXsOpqR7HuWSe1Nu3SXCfOg9kWt7JO4ZVjKevrA7T5piTjNcdV6RRABD-iANysaAhVlau22ZhaKLpr7nIowCSPepfdylz8SGoZum0YTA0Fe7cdcwa9EdRZVb5rsYqod7puQsTOJyAK8boBgX6hHnUihtPOLJRQcmHtxg8JMrH14URJva1QzqG6zK6mOeJDbwd7LVdyz60oCm8Mb3BpQ==&p=4&fvj=0&vjs=3,Yearly,200000.0,0.0,200000.0,200000.0,150K - 300K
